Instance Name; Instance ID, AWS Region
SC-STAGE-EW1-A_ServiceContainer_i-7cc6c031;i-7cc6c031;
SC-DEV-QE1_DeblurImageWorker_i-b92c29d1;i-b92c29d1;
SC-PROD-AN1-B_VideoStreamingWorker_i-c88669cc;i-c88669cc;
SC-STAGE-EW1-A_PSLWorker_i-1a434557;i-1a434557;
SC-PROD-UE1-B_ExportPDFWorker_i-7add591b;i-7add591b;
SC-STAGE-EW1-A_ServiceContainer_i-821013cf;i-821013cf;
SC-PROD-EW1-B_STDWorker_i-982528d5;i-982528d5;
SC-STAGE-EW1-A_PSLWorker_i-bc4543f1;i-bc4543f1;
SC-STAGE-UE1-A_STDWorker_i-4f99d32f;i-4f99d32f;
SC-PROD-AN1-B_PSLWorker_i-0ac7280e;i-0ac7280e;
SC-PROD-EW1-B_PDFWorker_i-683d1225;i-683d1225;
SC-DEV-QE1_IDWorker_i-0b91c566;i-0b91c566;
SC-PROD-EW1-B_UCFWorker_i-08b3a145;i-08b3a145;
SC-STAGE-EW1-A_ServiceContainer_i-ba0019f7;i-ba0019f7;
SC-PROD-AN1-B_STDWorker_i-40b9e442;i-40b9e442;
SC-STAGE-EW1-A_ServiceContainer_i-da001997;i-da001997;
SC-PROD-UE1-B_CRWorker_i-a95beecb;i-a95beecb;
SC-PROD-UE1-B_ExportPDFWorker_i-5907b33b;i-5907b33b;
SC-STAGE-AN1-A_XMPWorker_i-a86838aa;i-a86838aa;
SC-PROD-UE1-B_ExportPDFWorker_i-2e2ed742;i-2e2ed742;
SC-DEV-QE1_LocalGroverContainer_i-8ea112ef;i-8ea112ef;
SC-STAGE-UE1-A_PSLWorker_i-c1599dae;i-c1599dae;
SC-PROD-UE1-B_ExportPDFWorker_i-d18af4be;i-d18af4be;
SC-PROD-EW1-B_MatroshkaContainer_i-40df950d;i-40df950d;
SC-STAGE-EW1-A_ServiceContainer_i-e80019a5;i-e80019a5;
SC-LABS_LinuxPetaWorker_i-e4b07485;i-e4b07485;
SC-DEV-QE1_VideoStreamingWorker_i-d68cefbc;i-d68cefbc;
SC-PROD-EW1-B_CRWorker_i-cc420881;i-cc420881;
SC-DEV-QE1_VideoWorker_i-3eae6852;i-3eae6852;
SC-LABS_LinuxPetaWorker_i-a2e358c3;i-a2e358c3;
SC-STAGE-UE1-A_VideoStreamingWorker_i-8f0e45ed;i-8f0e45ed;
SC-STAGE-UE1-A_STDWorker_i-13858c7c;i-13858c7c;
SC-STAGE-EW1-A_ServiceContainer_i-70a5a63d;i-70a5a63d;
SC-PROD-UE1-B_ExportPDFWorker_i-d6624aba;i-d6624aba;
SC-DEV-BAT-A_ServiceContainer_i-9b52a8f3;i-9b52a8f3;
SC-PROD-EW1-B_IDWorker_i-9e470dd3;i-9e470dd3;
SC-STAGE-UE1-A_PDFWorker_i-05453767;i-05453767;
SC-PROD-UE1-B_ExportPDFWorker_i-c75556a8;i-c75556a8;
SC-PROD-UE1-B_CombinePDFLinuxWorker_i-482fda23;i-482fda23;
SC-PROD-UE1-B_ExportPDFWorker_i-b27da7da;i-b27da7da;
SC-PROD-EW1-B_VideoWorker_i-f888a0b5;i-f888a0b5;
SC-PROD-AN1-B_PSLWorker_i-8801578a;i-8801578a;
SC-STAGE-EW1-A_ServiceContainer_i-2610136b;i-2610136b;
SC-STAGE-EW1-A_STDWorker_i-6640462b;i-6640462b;
SC-DEV-QE2_CombinePDFLinuxWorker_i-7633721a;i-7633721a;
SC-PROD-UE1-B_PDFWorker_i-60148803;i-60148803;
SC-DEV-EU-QE1_CombinePDFLinuxWorker_i-1a0d1657;i-1a0d1657;
SC-PROD-UE1-B_CreatePDFWorker-EPT_i-721b5a19;i-721b5a19;
sc-dev-bat_Solr4_2;i-6add3110;
SC-PROD-UE1-PERMANENT_AMSServer_i-ce7263a2;i-ce7263a2;
SC-PROD-EW1-B_ServiceContainer_i-76df953b;i-76df953b;
SC-DEV-QE1_CombinePDFLinuxWorker_i-cf5979ad;i-cf5979ad;
SC-PROD-UE1-B_VideoWorker_i-54418f37;i-54418f37;
SC-LABS_ActionsWorker_i-8d9768e2;i-8d9768e2;
